"theta"	"prop_random"	"iteration"	"mu"	"tau"	"I2"	"mu_2"	"tau_2"	"I2_2"
6.9	0	1	3.10081821330854e-17	0	0	0	0	0
6.9	0	2	8.41340885848751e-17	0	0	0	0	0
6.9	0	3	-8.63024929298462e-17	0	0	0	0	0
6.9	0	4	1.23599047663348e-17	0	0	0	0	0
6.9	0	5	3.4477629085039e-17	0	0	0	0	0
6.9	0	6	9.10729824887824e-18	0	0	0	0	0
6.9	0	7	6.85757874097082e-17	0	0	0	0	0
6.9	0	8	-1.43114686768087e-17	0	0	0	0	0
6.9	0	9	-1.38777878078145e-17	0	0	0	0	0
6.9	0	10	4.38830829313508e-17	0	0	0	0	0
6.9	0	11	-9.64939933512099e-18	0	0	0	0	0
6.9	0	12	2.71050543121376e-17	0	0	0	0	0
6.9	0	13	2.54787510534094e-17	0	0	0	0	0
6.9	0	14	-8.23993651088983e-18	0	0	0	0	0
6.9	0	15	1.73472347597681e-17	0	0	0	0	0
6.9	0	16	5.20417042793042e-18	0	0	0	0	0
6.9	0	17	-1.17500410443117e-17	0	0	0	0	0
6.9	0	18	-3.25260651745651e-18	0	0	0	0	0
6.9	0	19	-1.99493199737333e-17	0	0	0	0	0
6.9	0	20	4.05491612509579e-17	0	0	0	0	0
6.9	0	21	-6.79794762148411e-17	0	0	0	0	0
6.9	0	22	-5.98479599211998e-17	0	0	0	0	0
6.9	0	23	4.09828421199521e-17	0	0	0	0	0
6.9	0	24	-5.02527706947031e-17	0	0	0	0	0
6.9	0	25	-2.99239799605999e-17	0	0	0	0	0
6.9	0	26	-4.83554168928535e-17	0	0	0	0	0
6.9	0	27	-4.42354486374086e-17	0	0	0	0	0
6.9	0	28	1.90819582357449e-17	0	0	0	0	0
6.9	0	29	3.81639164714898e-17	0	0	0	0	0
6.9	0	30	4.25007251614318e-17	0	0	0	0	0
6.9	0	31	5.14996031930615e-19	0	0	0	0	0
6.9	0	32	-2.66713734431434e-17	0	0	0	0	0
6.9	0	33	4.55364912443912e-17	0	0	0	0	0
6.9	0	34	-2.75387351811318e-17	0	0	0	0	0
6.9	0	35	-3.06829214813398e-17	0	0	0	0	0
6.9	0	36	2.47198095326695e-17	0	0	0	0	0
6.9	0	37	-8.02309607639273e-18	0	0	0	0	0
6.9	0	38	2.81892564846231e-17	0	0	0	0	0
6.9	0	39	-9.54097911787244e-18	0	0	0	0	0
6.9	0	40	3.96817995129695e-17	0	0	0	0	0
6.9	0	41	-9.75781955236954e-18	0	0	0	0	0
6.9	0	42	4.55364912443912e-18	0	0	0	0	0
6.9	0	43	-1.62630325872826e-17	0	0	0	0	0
6.9	0	44	-1.52872506320456e-17	0	0	0	0	0
6.9	0	45	-9.24824453130135e-17	0	0	0	0	0
6.9	0	46	-2.20093041014557e-17	0	0	0	0	0
6.9	0	47	-1.51788304147971e-18	0	0	0	0	0
6.9	0	48	1.30104260698261e-17	0	0	0	0	0
